Market,Order Quantity,Order Price,Filled Price,Trigger Price,Filled Quantity,feeInfo,Direction,Order Type,Order Status,Order ID,Order Time(UTC+0),Time In Force,Create Time,Max Slippage,Max Slippage Type,Limit Tpsl Strategy,Bbo Side Type,Bbo Level
BTCUSDT,0.001,73362.4,72636.2,,0.001,"{""USDT"":""0.03994991""}",Long,Market,Filled, a75210ca,11:40 2026-06-01,IOC,11:40 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71129.4,0.0,,Long,Market,Deactivated, c1baa277,11:21 2026-06-01,IOC,11:21 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73236.4,0.0,,Long,Market,Deactivated, bf28035e,11:21 2026-06-01,IOC,11:21 2026-06-01,,,Price,,
BTCUSDT,0.001,71931.2,72657.6,,0.001,"{""USDT"":""0.03996168""}",Short,Market,Filled, 67fdd628,11:21 2026-06-01,IOC,11:21 2026-06-01,,,Price,,
ETHUSDT,0.01,2023.93,1984.01,,0.01,"{""USDT"":""0.01091206""}",Long,Market,Filled, 938cc0fa,11:18 2026-06-01,IOC,11:18 2026-06-01,,,Price,,
BTCUSDT,0.001,73390.5,72663.9,,0.001,"{""USDT"":""0.03996515""}",Long,Market,Filled, acb8af79,11:17 2026-06-01,IOC,11:17 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1940.89,0.0,,Long,Market,Deactivated, e3886b61,11:15 2026-06-01,IOC,11:15 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1998.39,0.0,,Long,Market,Deactivated, 3460efe1,11:15 2026-06-01,IOC,11:15 2026-06-01,,,Price,,
ETHUSDT,0.01,1942.88,1982.62,,0.01,"{""USDT"":""0.01090441""}",Short,Market,Filled, 721fc9d3,11:15 2026-06-01,IOC,11:15 2026-06-01,,,Price,,
SOLUSDT,0.1,85.09,81.05,,0.1,"{""USDT"":""0.00445775""}",Long,Market,Filled, 952e917b,11:15 2026-06-01,IOC,11:15 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,79.34,0.0,,Long,Market,Deactivated, f7bd06c7,11:11 2026-06-01,IOC,11:11 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,81.69,0.0,,Long,Market,Deactivated, b2ac3978,11:11 2026-06-01,IOC,11:11 2026-06-01,,,Price,,
SOLUSDT,0.1,77,81.04,,0.1,"{""USDT"":""0.0044572""}",Short,Market,Filled, a19a66df,11:11 2026-06-01,IOC,11:11 2026-06-01,,,Price,,
ETHUSDT,0.01,2024.12,1984.56,,0.01,"{""USDT"":""0.01091508""}",Long,Market,Filled, 86a2a590,11:10 2026-06-01,IOC,11:10 2026-06-01,,,Price,,
SOLUSDT,0.1,85.16,81.11,,0.1,"{""USDT"":""0.00446105""}",Long,Market,Filled, 8d447050,11:09 2026-06-01,IOC,11:09 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73229.2,0.0,,Long,Market,Deactivated, 8ffef1a5,11:06 2026-06-01,IOC,11:06 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71122.4,0.0,,Long,Market,Deactivated, 0116205f,11:06 2026-06-01,IOC,11:06 2026-06-01,,,Price,,
BTCUSDT,0.001,71922.8,72649.7,,0.001,"{""USDT"":""0.03995734""}",Short,Market,Filled, dc777a79,11:06 2026-06-01,IOC,11:06 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,81.64,0.0,,Long,Market,Deactivated, c2418cfa,11:05 2026-06-01,IOC,11:05 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,79.29,0.0,,Long,Market,Deactivated, 104392a6,11:05 2026-06-01,IOC,11:05 2026-06-01,,,Price,,
SOLUSDT,0.1,76.93,80.99,,0.1,"{""USDT"":""0.00445445""}",Short,Market,Filled, c06d054e,11:05 2026-06-01,IOC,11:05 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1999.37,0.0,,Long,Market,Deactivated, 4ca00e06,10:55 2026-06-01,IOC,10:55 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1941.85,0.0,,Long,Market,Deactivated, ab8963c1,10:55 2026-06-01,IOC,10:55 2026-06-01,,,Price,,
ETHUSDT,0.01,1943.72,1983.31,,0.01,"{""USDT"":""0.01090821""}",Short,Market,Filled, c8656c53,10:55 2026-06-01,IOC,10:55 2026-06-01,,,Price,,
BTCUSDT,0.001,73401.1,72674.5,,0.001,"{""USDT"":""0.03997098""}",Long,Market,Filled, 960ef24f,10:45 2026-06-01,IOC,10:45 2026-06-01,,,Price,,
ETHUSDT,0.01,2021.66,1982.2,,0.01,"{""USDT"":""0.0109021""}",Long,Market,Filled, 5333310b,10:39 2026-06-01,IOC,10:39 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73195.0,0.0,,Long,Market,Deactivated, 04bc2435,10:33 2026-06-01,IOC,10:33 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71089.2,0.0,,Long,Market,Deactivated, 3d191db3,10:33 2026-06-01,IOC,10:33 2026-06-01,,,Price,,
BTCUSDT,0.001,71891.8,72617.2,,0.001,"{""USDT"":""0.03993946""}",Short,Market,Filled, e430b6c5,10:33 2026-06-01,IOC,10:33 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1998.02,0.0,,Long,Market,Deactivated, 6ac6cdd2,10:32 2026-06-01,IOC,10:32 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1940.54,0.0,,Long,Market,Deactivated, 61ef1f26,10:32 2026-06-01,IOC,10:32 2026-06-01,,,Price,,
ETHUSDT,0.01,1942.57,1982.27,,0.01,"{""USDT"":""0.01090249""}",Short,Market,Filled, 7d392e7f,10:32 2026-06-01,IOC,10:32 2026-06-01,,,Price,,
BTCUSDT,0.001,73441.8,72720,,0.001,"{""USDT"":""0.039996""}",Long,Market,Filled, d019e115,10:30 2026-06-01,IOC,10:30 2026-06-01,,,Price,,
ETHUSDT,0.01,2023.97,1984.3,,0.01,"{""USDT"":""0.01091365""}",Long,Market,Filled, 82786604,10:30 2026-06-01,IOC,10:30 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71173.3,0.0,,Long,Market,Deactivated, 08f798c0,10:17 2026-06-01,IOC,10:17 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73281.6,0.0,,Long,Market,Deactivated, 7695268e,10:17 2026-06-01,IOC,10:17 2026-06-01,,,Price,,
BTCUSDT,0.001,71970.2,72699.9,,0.001,"{""USDT"":""0.03998495""}",Short,Market,Filled, f8f6f174,10:17 2026-06-01,IOC,10:17 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1999.01,0.0,,Long,Market,Deactivated, b03f3587,10:17 2026-06-01,IOC,10:17 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1941.5,0.0,,Long,Market,Deactivated, d2d30c96,10:17 2026-06-01,IOC,10:17 2026-06-01,,,Price,,
ETHUSDT,0.01,1943.38,1983.14,,0.01,"{""USDT"":""0.01090727""}",Short,Market,Filled, 75dca2ac,10:17 2026-06-01,IOC,10:17 2026-06-01,,,Price,,
BTCUSDT,0.001,73496.1,72770,,0.001,"{""USDT"":""0.0400235""}",Long,Market,Filled, cdbda2e1,10:16 2026-06-01,IOC,10:16 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73466.1,0.0,,Long,Market,Deactivated, a5d71b6d,09:52 2026-06-01,IOC,09:52 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71352.5,0.0,,Long,Market,Deactivated, 850a8743,09:52 2026-06-01,IOC,09:52 2026-06-01,,,Price,,
BTCUSDT,0.001,72150.7,72880.3,,0.001,"{""USDT"":""0.04008417""}",Short,Market,Filled, f8780388,09:52 2026-06-01,IOC,09:52 2026-06-01,,,Price,,
BTCUSDT,0.001,73687.3,72952.3,,0.001,"{""USDT"":""0.04012377""}",Long,Market,Filled, 0d807003,09:45 2026-06-01,IOC,09:45 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71369.1,0.0,,Long,Market,Deactivated, 565839ad,09:42 2026-06-01,IOC,09:42 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73483.2,0.0,,Long,Market,Deactivated, 74e4a3ef,09:42 2026-06-01,IOC,09:42 2026-06-01,,,Price,,
BTCUSDT,0.001,72169.4,72900,,0.001,"{""USDT"":""0.040095""}",Short,Market,Filled, 0f941f00,09:42 2026-06-01,IOC,09:42 2026-06-01,,,Price,,
ETHUSDT,0.01,1946.18,1985.8,,0.01,"{""USDT"":""0.0109219""}",Short,Market,Filled, cb1e8b6a,09:30 2026-06-01,IOC,09:30 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1966.41,0.0,,Short,Market,Deactivated, 1a9e058e,08:56 2026-06-01,IOC,08:56 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,2023.89,0.0,,Short,Market,Deactivated, 6045f484,08:56 2026-06-01,IOC,08:56 2026-06-01,,,Price,,
ETHUSDT,0.01,2021.91,1982.27,,0.01,"{""USDT"":""0.01090249""}",Long,Market,Filled, 5086499c,08:56 2026-06-01,IOC,08:56 2026-06-01,,,Price,,
SOLUSDT,0.1,84.85,80.82,,0.1,"{""USDT"":""0.0044451""}",Long,Market,Filled, 4a6f3495,08:53 2026-06-01,IOC,08:53 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,79.08,0.0,,Long,Market,Deactivated, a3aa8dfe,08:49 2026-06-01,IOC,08:49 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,81.42,0.0,,Long,Market,Deactivated, 956267e2,08:49 2026-06-01,IOC,08:49 2026-06-01,,,Price,,
SOLUSDT,0.1,76.74,80.77,,0.1,"{""USDT"":""0.00444235""}",Short,Market,Filled, 20034ee5,08:49 2026-06-01,IOC,08:49 2026-06-01,,,Price,,
ETHUSDT,0.01,1940.28,1979.7,,0.01,"{""USDT"":""0.01088835""}",Short,Market,Filled, 489466a1,08:49 2026-06-01,IOC,08:49 2026-06-01,,,Price,,
BTCUSDT,0.001,73530.7,72802.7,,0.001,"{""USDT"":""0.04004149""}",Long,Market,Filled, 3f066521,08:47 2026-06-01,IOC,08:47 2026-06-01,,,Price,,
SOLUSDT,0.1,84.81,80.78,,0.1,"{""USDT"":""0.0044429""}",Long,Market,Filled, 8649471e,08:45 2026-06-01,IOC,08:45 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71134.2,0.0,,Long,Market,Deactivated, bb3b1daf,08:42 2026-06-01,IOC,08:42 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73241.3,0.0,,Long,Market,Deactivated, ccd422a8,08:42 2026-06-01,IOC,08:42 2026-06-01,,,Price,,
BTCUSDT,0.001,71939.1,72660,,0.001,"{""USDT"":""0.039963""}",Short,Market,Filled, 5ae0c7cd,08:42 2026-06-01,IOC,08:42 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,78.9,0.0,,Long,Market,Deactivated, a451a2cc,08:42 2026-06-01,IOC,08:42 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,81.24,0.0,,Long,Market,Deactivated, 8f67a334,08:42 2026-06-01,IOC,08:42 2026-06-01,,,Price,,
SOLUSDT,0.1,76.58,80.59,,0.1,"{""USDT"":""0.00443245""}",Short,Market,Filled, ef28c19a,08:42 2026-06-01,IOC,08:42 2026-06-01,,,Price,,
BTCUSDT,0.001,73540.6,72812.3,,0.001,"{""USDT"":""0.04004677""}",Long,Market,Filled, 3f895122,08:34 2026-06-01,IOC,08:34 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1964.0,0.0,,Short,Market,Deactivated, 14f6f876,08:34 2026-06-01,IOC,08:34 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,2021.41,0.0,,Short,Market,Deactivated, bfd03f7c,08:34 2026-06-01,IOC,08:34 2026-06-01,,,Price,,
ETHUSDT,0.01,2019.38,1979.84,,0.01,"{""USDT"":""0.01088912""}",Long,Market,Filled, 7a5d4494,08:34 2026-06-01,IOC,08:34 2026-06-01,,,Price,,
ETHUSDT,0.01,2018.26,1978.6,,0.01,"{""USDT"":""0.0108823""}",Long,Market,Filled, 3b3236ea,08:33 2026-06-01,IOC,08:33 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1933.78,0.0,,Long,Market,Deactivated, 777d871d,08:29 2026-06-01,IOC,08:29 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1991.07,0.0,,Long,Market,Deactivated, fb7e0320,08:29 2026-06-01,IOC,08:29 2026-06-01,,,Price,,
ETHUSDT,0.01,1935.89,1975.26,,0.01,"{""USDT"":""0.01086393""}",Short,Market,Filled, 359e23ab,08:29 2026-06-01,IOC,08:29 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73325.5,0.0,,Long,Market,Deactivated, d832814b,08:28 2026-06-01,IOC,08:28 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71215.9,0.0,,Long,Market,Deactivated, 28814eb2,08:28 2026-06-01,IOC,08:28 2026-06-01,,,Price,,
BTCUSDT,0.001,72013.2,72746.7,,0.001,"{""USDT"":""0.04001069""}",Short,Market,Filled, 993bfcc4,08:28 2026-06-01,IOC,08:28 2026-06-01,,,Price,,
BTCUSDT,0.001,73528.3,72800.3,,0.001,"{""USDT"":""0.04004017""}",Long,Market,Filled, 2ea4b939,08:19 2026-06-01,IOC,08:19 2026-06-01,,,Price,,
ETHUSDT,0.01,2017,1977.46,,0.01,"{""USDT"":""0.01087603""}",Long,Market,Filled, 769befbe,08:19 2026-06-01,IOC,08:19 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71267.1,0.0,,Long,Market,Deactivated, ae501e61,08:15 2026-06-01,IOC,08:15 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73378.2,0.0,,Long,Market,Deactivated, 41b194cf,08:15 2026-06-01,IOC,08:15 2026-06-01,,,Price,,
BTCUSDT,0.001,72065.1,72795.8,,0.001,"{""USDT"":""0.04003769""}",Short,Market,Filled, e912a3a6,08:15 2026-06-01,IOC,08:15 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1935.93,0.0,,Long,Market,Deactivated, ed10e0bf,08:15 2026-06-01,IOC,08:15 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1993.27,0.0,,Long,Market,Deactivated, a75ee7e1,08:15 2026-06-01,IOC,08:15 2026-06-01,,,Price,,
ETHUSDT,0.01,1937.84,1977.45,,0.01,"{""USDT"":""0.01087598""}",Short,Market,Filled, 5321dd57,08:15 2026-06-01,IOC,08:15 2026-06-01,,,Price,,
ETHUSDT,0.01,2017.26,1977.72,,0.01,"{""USDT"":""0.01087746""}",Long,Market,Filled, d95b9318,08:11 2026-06-01,IOC,08:11 2026-06-01,,,Price,,
BTCUSDT,0.001,73533.9,72804.4,,0.001,"{""USDT"":""0.04004242""}",Long,Market,Filled, 6cc5afd8,08:11 2026-06-01,IOC,08:11 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1992.34,0.0,,Long,Market,Deactivated, ed184fae,08:08 2026-06-01,IOC,08:08 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1935.02,0.0,,Long,Market,Deactivated, 7bfb8d2b,08:08 2026-06-01,IOC,08:08 2026-06-01,,,Price,,
ETHUSDT,0.01,1936.75,1976.42,,0.01,"{""USDT"":""0.01087031""}",Short,Market,Filled, f1645c5b,08:08 2026-06-01,IOC,08:08 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71237.6,0.0,,Long,Market,Deactivated, 7078138a,08:08 2026-06-01,IOC,08:08 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73347.8,0.0,,Long,Market,Deactivated, eccdf6ea,08:08 2026-06-01,IOC,08:08 2026-06-01,,,Price,,
BTCUSDT,0.001,72030.6,72762.4,,0.001,"{""USDT"":""0.04001932""}",Short,Market,Filled, 7573f24f,08:08 2026-06-01,IOC,08:08 2026-06-01,,,Price,,
ETHUSDT,0.01,2015.52,1975.99,,0.01,"{""USDT"":""0.01086795""}",Long,Market,Filled, 1fc584f8,08:00 2026-06-01,IOC,08:00 2026-06-01,,,Price,,
SOLUSDT,0.1,84.73,80.71,,0.1,"{""USDT"":""0.00443905""}",Long,Market,Filled, 22451a9b,08:00 2026-06-01,IOC,08:00 2026-06-01,,,Price,,
BTCUSDT,0.001,73524.8,72786.8,,0.001,"{""USDT"":""0.04003274""}",Long,Market,Filled, 5c27ca1c,08:00 2026-06-01,IOC,08:00 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1996.11,0.0,,Long,Market,Deactivated, 1b54f0a1,07:47 2026-06-01,IOC,07:47 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1938.68,0.0,,Long,Market,Deactivated, 04d8c75e,07:47 2026-06-01,IOC,07:47 2026-06-01,,,Price,,
ETHUSDT,0.01,1940.56,1980.26,,0.01,"{""USDT"":""0.01089143""}",Short,Market,Filled, dd03d001,07:47 2026-06-01,IOC,07:47 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,81.57,0.0,,Long,Market,Deactivated, 1b28340a,07:47 2026-06-01,IOC,07:47 2026-06-01,,,Price,,
SOLUSDT,0.1,0,0,79.23,0.0,,Long,Market,Deactivated, 8d207ba2,07:47 2026-06-01,IOC,07:47 2026-06-01,,,Price,,
SOLUSDT,0.1,76.89,80.92,,0.1,"{""USDT"":""0.0044506""}",Short,Market,Filled, 08529afa,07:47 2026-06-01,IOC,07:47 2026-06-01,,,Price,,
ETHUSDT,0.01,2021.76,1982.33,,0.01,"{""USDT"":""0.01090282""}",Long,Market,Filled, bb97fef4,07:45 2026-06-01,IOC,07:45 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71378.2,0.0,,Long,Market,Deactivated, 3e6942b2,07:43 2026-06-01,IOC,07:43 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73492.5,0.0,,Long,Market,Deactivated, 3cef371b,07:43 2026-06-01,IOC,07:43 2026-06-01,,,Price,,
BTCUSDT,0.001,72180.1,72909.1,,0.001,"{""USDT"":""0.04010001""}",Short,Market,Filled, 9d540e3e,07:43 2026-06-01,IOC,07:43 2026-06-01,,,Price,,
BTCUSDT,0.001,73673.4,72944,,0.001,"{""USDT"":""0.0401192""}",Long,Market,Filled, 52ed7a39,07:40 2026-06-01,IOC,07:40 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1943.13,0.0,,Long,Market,Deactivated, 3ed0da4e,07:24 2026-06-01,IOC,07:24 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,2000.69,0.0,,Long,Market,Deactivated, 02a33a0c,07:24 2026-06-01,IOC,07:24 2026-06-01,,,Price,,
ETHUSDT,0.01,1945.22,1984.98,,0.01,"{""USDT"":""0.01091739""}",Short,Market,Filled, eaa503e5,07:24 2026-06-01,IOC,07:24 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73558.1,0.0,,Long,Market,Deactivated, 1c484a6b,07:17 2026-06-01,IOC,07:17 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71441.9,0.0,,Long,Market,Deactivated, 53945c5e,07:17 2026-06-01,IOC,07:17 2026-06-01,,,Price,,
BTCUSDT,0.001,72243.4,72974.3,,0.001,"{""USDT"":""0.04013587""}",Short,Market,Filled, f49c762a,07:17 2026-06-01,IOC,07:17 2026-06-01,,,Price,,
ETHUSDT,0.01,1946.95,1986.56,,0.01,"{""USDT"":""0.01092608""}",Short,Market,Filled, a9ce2332,07:16 2026-06-01,IOC,07:16 2026-06-01,,,Price,,
BTCUSDT,0.001,72372.3,73119,,0.001,"{""USDT"":""0.04021545""}",Short,Market,Filled, ec69cb30,07:12 2026-06-01,IOC,07:12 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,74685.0,0.0,,Short,Market,Deactivated, 16610a76,07:07 2026-06-01,IOC,07:07 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,72563.7,0.0,,Short,Market,Deactivated, affaffbc,07:07 2026-06-01,IOC,07:07 2026-06-01,,,Price,,
BTCUSDT,0.001,73888.9,73148.9,,0.001,"{""USDT"":""0.0402319""}",Long,Market,Filled, 2f71e8b9,07:07 2026-06-01,IOC,07:07 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1973.14,0.0,,Short,Market,Deactivated, 716373e9,07:07 2026-06-01,IOC,07:07 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,2030.83,0.0,,Short,Market,Deactivated, 6752fd94,07:07 2026-06-01,IOC,07:07 2026-06-01,,,Price,,
ETHUSDT,0.01,2029.17,1989.15,,0.01,"{""USDT"":""0.01094033""}",Long,Market,Filled, d849328b,07:07 2026-06-01,IOC,07:07 2026-06-01,,,Price,,
BTCUSDT,0.001,73831,73100,,0.001,"{""USDT"":""0.040205""}",Long,Market,Filled, 77fccb1f,07:05 2026-06-01,IOC,07:05 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71546.3,0.0,,Long,Market,Deactivated, 94a72be4,06:58 2026-06-01,IOC,06:58 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73665.6,0.0,,Long,Market,Deactivated, a82a32a3,06:58 2026-06-01,IOC,06:58 2026-06-01,,,Price,,
BTCUSDT,0.001,72349.7,73080.9,,0.001,"{""USDT"":""0.0401945""}",Short,Market,Filled, 818291ba,06:58 2026-06-01,IOC,06:58 2026-06-01,,,Price,,
BTCUSDT,0.001,73807.2,73076.5,,0.001,"{""USDT"":""0.04019208""}",Long,Market,Filled, a73c5bac,06:58 2026-06-01,IOC,06:58 2026-06-01,,,Price,,
ETHUSDT,0.01,2025.82,1986.06,,0.01,"{""USDT"":""0.01092333""}",Long,Market,Filled, 076d0712,06:57 2026-06-01,IOC,06:57 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73680.4,0.0,,Long,Market,Deactivated, 7cf21930,06:54 2026-06-01,IOC,06:54 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71560.6,0.0,,Long,Market,Deactivated, 024f2979,06:54 2026-06-01,IOC,06:54 2026-06-01,,,Price,,
BTCUSDT,0.001,72367.6,73095.6,,0.001,"{""USDT"":""0.04020258""}",Short,Market,Filled, f2ecb75f,06:54 2026-06-01,IOC,06:54 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1944.43,0.0,,Long,Market,Deactivated, 2944eae1,06:54 2026-06-01,IOC,06:54 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,2002.02,0.0,,Long,Market,Deactivated, 7ad6fc46,06:54 2026-06-01,IOC,06:54 2026-06-01,,,Price,,
ETHUSDT,0.01,1946.48,1986.01,,0.01,"{""USDT"":""0.01092306""}",Short,Market,Filled, 1c3777c6,06:54 2026-06-01,IOC,06:54 2026-06-01,,,Price,,
BTCUSDT,0.001,73867.1,73151.2,,0.001,"{""USDT"":""0.04023316""}",Long,Market,Filled, 6af5f238,06:50 2026-06-01,IOC,06:50 2026-06-01,,,Price,,
ETHUSDT,0.01,2028.86,1988.99,,0.01,"{""USDT"":""0.01093945""}",Long,Market,Filled, c0fdcfe1,06:23 2026-06-01,IOC,06:23 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71672.5,0.0,,Long,Market,Deactivated, f43d847b,06:20 2026-06-01,IOC,06:20 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73795.6,0.0,,Long,Market,Deactivated, 37bbc0b5,06:20 2026-06-01,IOC,06:20 2026-06-01,,,Price,,
BTCUSDT,0.001,72481,73209.9,,0.001,"{""USDT"":""0.04026545""}",Short,Market,Filled, ee183b35,06:20 2026-06-01,IOC,06:20 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,1948.21,0.0,,Long,Market,Deactivated, 684c64e0,06:20 2026-06-01,IOC,06:20 2026-06-01,,,Price,,
ETHUSDT,0.01,0,0,2005.92,0.0,,Long,Market,Deactivated, 795b46eb,06:20 2026-06-01,IOC,06:20 2026-06-01,,,Price,,
ETHUSDT,0.01,1950.21,1990,,0.01,"{""USDT"":""0.010945""}",Short,Market,Filled, 117bd248,06:20 2026-06-01,IOC,06:20 2026-06-01,,,Price,,
BTCUSDT,0.001,74020.6,73287,,0.001,"{""USDT"":""0.04030785""}",Long,Market,Filled, 75a0a6d8,06:15 2026-06-01,IOC,06:15 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73923.4,0.0,,Long,Market,Deactivated, f434e397,05:57 2026-06-01,IOC,05:57 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71796.7,0.0,,Long,Market,Deactivated, 62caa37c,05:57 2026-06-01,IOC,05:57 2026-06-01,,,Price,,
BTCUSDT,0.001,72602.1,73336.7,,0.001,"{""USDT"":""0.04033519""}",Short,Market,Filled, b8e774e4,05:57 2026-06-01,IOC,05:57 2026-06-01,,,Price,,
BTCUSDT,0.001,74126.3,73388.3,,0.001,"{""USDT"":""0.04036357""}",Long,Market,Filled, 0caeaf3a,05:52 2026-06-01,IOC,05:52 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,73972.3,0.0,,Long,Market,Deactivated, 653cf5f5,05:49 2026-06-01,IOC,05:49 2026-06-01,,,Price,,
BTCUSDT,0.001,0,0,71844.2,0.0,,Long,Market,Deactivated, c158cdd8,05:49 2026-06-01,IOC,05:49 2026-06-01,,,Price,,
BTCUSDT,0.001,72651.5,73385.2,,0.001,"{""USDT"":""0.04036186""}",Short,Market,Filled, 42bb9baf,05:49 2026-06-01,IOC,05:49 2026-06-01,,,Price,,
SOLUSDT,0.1,85.91,81.82,,0.1,"{""USDT"":""0.0045001""}",Long,Market,Filled, ca5c75d0,05:40 2026-06-01,IOC,05:40 2026-06-01,,,Price,,
